	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	C13	C14	C15	C16	C17	C18	C19	C20	C21	C22	AD1	AD2	AD3	AD4	AD5	AD6	AD7	AD8	AD9	AD10	AD11	AD12	AD13	AD14	AD15	AD16	AD17	AD18	AD19	AD20	AD21	AD22	AD23	AD24	AD25	AD26	AD27	AD28	AD29	AD30	AD31	AD32	AD33	AD34	AD35	AD36	AD37	AD38	AD39	AD40	AD41	AD42	AD43	AD44	AD45	AD46	AD47	AD48
miR-731	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0
miR-732	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
miR-733	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
miR-734	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	2	0	2	0	0
miR-735	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
miR-736	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
miR-737	0	0	0	0	1	2	0	3	2	3	0	0	2	0	4	0	0	1	1	2	3	1	1	0	0	2	3	0	6	0	9	2	1	1	1	0	2	6	1	1	1	1	4	0	9	2	1	2	0	2	3	0	2	0	3	1	0	1	1	1	5	0	0	3	0	0	1	7	0	0
miR-738	1	0	0	2	0	0	0	1	0	0	1	0	1	0	5	1	1	2	0	1	0	0	0	0	0	0	0	1	0	1	4	0	0	0	1	0	0	29	1	4	4	7	0	1	8	1	1	1	0	1	0	0	0	1	0	1	0	0	0	0	2	0	1	3	0	3	0	1	1	0
miR-739	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
miR-740	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
miR-741	0	0	0	1	0	1	0	0	1	0	0	0	2	0	3	0	1	0	1	2	1	0	0	0	0	1	2	0	1	3	0	0	0	0	1	0	2	8	0	0	0	1	0	0	4	0	0	2	1	3	3	0	0	0	2	0	2	1	0	1	2	0	1	3	2	0	0	1	0	1
miR-742	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
miR-743	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	2	0	0	0	0	4	0	0	0	0	1	1	0	1	0	0	0	0	0	1	4	1	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	1	0	0	1	1
miR-744	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
miR-745	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
miR-746	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
miR-747	5143	2228	3858	565	1369	3294	746	6224	2320	5629	3773	2373	2945	1860	10724	2366	2079	2479	8102	8297	9484	4044	5008	2634	3358	1733	7666	2107	3159	7885	14683	3568	7329	1153	6277	4653	8335	31027	4453	12743	7734	10096	6399	3296	33844	13405	2839	5540	2271	5358	6650	59	6275	2851	5075	3165	1255	1524	1861	1643	15142	438	6272	3939	4828	4551	2419	13505	5812	3803
miR-748	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
miR-749	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
miR-750	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
miR-751	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
miR-752	5	2	1	2	1	2	2	0	0	2	1	1	3	1	2	2	1	1	7	6	7	2	3	1	2	1	4	0	3	3	5	2	4	1	4	3	7	34	3	7	9	13	2	0	31	8	4	1	0	1	6	0	2	2	0	1	3	2	2	2	15	1	4	5	0	3	1	10	4	0
miR-753	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
miR-754	0	0	0	1	3	0	0	1	1	0	1	1	0	1	1	1	0	2	1	1	1	1	0	5	1	1	1	1	2	1	1	0	0	1	0	0	1	4	1	1	3	1	0	1	0	1	0	4	0	0	1	0	0	0	0	2	0	0	0	0	1	0	1	0	1	0	1	1	1	0
miR-755	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
miR-756	504	433	516	92	30	1115	164	1411	323	2031	278	131	866	115	1481	877	89	569	424	622	778	582	53	123	69	15	106	12	21	35	1897	18	95	15	49	28	34	794	34	2123	846	689	28	21	3390	269	10	2099	3	996	151	11	464	34	42	39	19	8	8	30	222	2	385	1243	46	69	69	407	783	179
miR-757	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	2	0	0	1	0	3	1	0	0	0	0	0	0	0	0	1	0	2	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0
miR-758	9	10	6	8	18	5	6	10	6	1	2	0	5	1	9	4	5	6	6	10	17	6	4	15	2	3	7	1	3	5	3	10	2	2	15	1	6	57	13	8	6	11	7	5	32	8	2	9	3	3	7	1	6	1	2	4	3	4	6	5	18	0	9	3	0	5	6	8	3	3
miR-759	0	2	3	0	1	0	0	2	0	1	1	0	0	0	1	0	2	1	1	0	1	0	2	0	0	0	1	2	1	1	5	2	1	0	2	1	2	3	1	1	2	1	1	1	2	0	2	0	1	0	3	1	2	1	1	0	1	0	0	1	2	1	2	0	1	1	0	3	1	0
miR-760	204	234	162	190	198	105	70	331	80	101	78	73	83	46	223	85	151	180	173	122	194	114	90	90	61	78	156	101	209	174	1049	353	138	81	118	68	183	1031	153	692	344	104	214	233	590	177	64	168	154	131	399	5	85	86	85	108	54	80	97	75	233	44	104	101	91	122	87	159	112	48
miR-761	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0
miR-762	1	1	0	0	0	1	0	0	0	1	0	0	0	0	1	1	0	1	1	0	0	1	0	0	0	0	0	0	0	1	0	0	1	1	1	0	0	2	0	1	0	0	1	0	2	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	1	0	0
miR-763	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	2	1	0	0	0	0	1	1	0	0	0	0	1	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	1	3	0	1
miR-764	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0
miR-765	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
miR-766	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
miR-767	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
miR-768	718	561	448	652	232	767	294	686	497	522	496	509	835	412	765	429	394	618	939	709	880	692	908	447	962	575	1149	708	1958	1629	3147	1044	1958	500	1396	1181	1566	3327	966	1814	937	787	816	1426	3422	724	816	742	473	661	3206	58	783	1162	1494	1076	294	705	534	553	2440	345	992	725	1488	871	699	964	1289	454
miR-769	0	0	0	0	0	0	0	4	1	1	0	0	0	3	3	0	0	0	0	7	1	0	2	1	0	0	2	1	0	1	2	0	3	0	1	1	1	6	0	5	1	3	1	0	11	2	1	0	0	3	1	0	1	0	4	0	0	0	0	0	2	0	4	2	1	1	0	2	2	0
miR-770	3	0	1	1	3	1	1	0	2	1	0	0	0	0	2	0	2	0	2	0	0	1	2	2	0	1	0	2	5	1	0	2	1	2	1	0	0	1	2	0	0	0	2	2	3	0	0	2	0	1	0	0	1	0	0	2	2	1	0	14	0	1	0	0	2	0	0	0	1	0
miR-771	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
miR-772	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
miR-773	636	484	903	422	499	975	134	1596	665	1511	742	448	1065	553	1477	589	692	502	1074	1417	2055	832	920	568	523	558	1619	232	689	1050	1463	387	1072	252	590	743	1109	3225	497	4936	2557	1629	766	497	3374	1544	215	2364	239	641	1209	12	849	284	597	649	245	192	340	344	2105	49	554	750	592	461	442	1901	721	327
miR-774	12	13	5	3	12	5	0	17	5	18	0	1	0	1	35	5	4	3	3	0	1	3	0	2	1	1	7	1	1	2	16	3	6	0	4	0	5	4	2	18	16	4	4	18	5	4	0	22	5	4	8	1	2	2	2	0	1	0	3	7	7	2	4	5	0	4	4	4	4	6
miR-775	0	0	0	1	0	3	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	1	0	0	1	0	0	0	1	0	0	1	0	0	0	0	1	1	6	2	0	3	0	0	2	0	1	1	0	1	1	1	1	1	1	0	0	1	0	0	0	0	0	0
miR-776	2	1	0	1	2	1	0	0	0	2	0	1	0	1	1	2	0	1	0	0	2	1	0	0	0	0	1	0	0	0	3	1	1	0	0	0	1	2	0	1	0	0	1	0	3	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	1	0	3	0	0	0	0	1	0	0
miR-777	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
miR-778	5	2	4	1	1	1	1	14	2	1	1	2	7	1	3	1	1	2	4	2	7	0	4	0	4	1	6	4	1	9	14	0	8	2	8	5	2	15	3	57	16	12	3	2	21	1	4	4	2	2	6	0	2	3	4	1	0	2	1	2	7	0	4	1	1	6	1	9	2	7
miR-779	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
miR-780	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
miR-781	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
miR-782	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
miR-783	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
miR-784	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
miR-785	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
miR-786	5	8	5	2	4	22	4	7	2	5	5	4	9	4	13	26	4	13	6	14	19	2	5	1	3	0	6	1	5	5	14	1	11	2	12	5	10	47	10	7	5	14	6	1	65	12	2	3	1	8	11	0	6	5	4	7	3	0	0	1	19	0	5	15	5	6	4	20	8	2
miR-787	2	1	0	0	2	0	0	0	0	0	0	0	0	1	0	2	2	0	0	0	0	1	0	0	0	0	2	0	1	1	3	1	0	0	0	0	1	2	0	0	2	1	1	3	6	0	0	4	0	1	2	1	0	0	1	0	0	1	0	2	1	0	0	0	0	0	0	0	0	0
miR-788	40	83	14	48	44	13	7	43	16	19	16	14	11	6	24	21	23	14	29	28	51	24	40	28	42	27	66	14	44	57	177	43	41	22	32	19	75	162	48	111	67	40	51	52	179	61	18	131	21	19	122	2	33	44	20	26	31	21	13	40	62	13	33	53	31	24	39	50	74	10
miR-789	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
miR-790	4559	1567	4215	1628	1156	4486	1297	7357	3504	9393	2696	1775	3518	1271	16758	2609	2155	2330	3105	4011	4901	5397	1658	2590	1853	855	3756	427	1036	1085	9985	476	1175	314	1220	897	1693	8044	983	21650	6869	4106	1163	1029	19186	3230	537	13493	239	4441	2334	45	3500	892	1056	1513	396	375	457	912	5144	161	1966	2732	1325	1358	1130	4469	3910	1329
miR-791	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
miR-792	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
miR-793	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
miR-794	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
miR-795	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
miR-796	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
miR-797	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	2	0	0	0	1	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	1	0	1
miR-798	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
miR-799	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
miR-800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
miR-801	7	3	1	4	2	5	2	6	1	1	3	5	5	3	9	3	3	5	4	3	5	1	9	4	2	0	8	0	2	2	18	4	5	0	2	6	17	41	3	13	10	16	3	4	21	9	2	2	1	4	8	0	3	0	5	3	2	1	1	2	15	1	7	2	7	6	0	26	5	7
miR-802	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
miR-803	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
miR-804	2	8	1	2	6	4	2	9	2	1	6	2	3	2	2	15	6	3	0	4	7	4	1	5	2	1	5	2	8	10	15	11	3	1	5	2	3	22	3	9	6	1	12	4	8	2	1	2	9	2	12	2	4	5	2	5	8	0	2	2	2	0	2	2	2	4	6	7	1	1
miR-805	2	0	1	0	0	1	0	0	1	1	3	1	0	0	1	1	3	0	1	2	2	1	6	0	5	1	5	2	5	2	5	5	5	1	3	0	4	21	4	2	0	4	8	2	24	1	2	1	1	3	5	0	6	5	1	5	1	0	2	0	5	1	9	1	3	0	3	2	0	3
miR-806	10	5	3	1	1	2	1	2	3	8	4	1	2	0	7	1	0	0	1	3	0	5	1	0	0	1	2	0	0	0	21	0	0	1	0	0	1	7	2	18	2	3	0	0	17	1	0	5	0	3	3	0	1	0	0	2	0	0	0	0	2	0	5	1	0	0	0	1	5	0
miR-807	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
miR-808	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
miR-809	0	0	1	0	0	0	0	8	0	2	0	0	0	1	4	0	0	0	1	0	1	1	0	0	0	0	0	0	1	0	4	0	1	0	0	0	0	3	0	4	2	3	0	0	5	2	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	5	0	0	0	1	2	0
miR-810	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0
miR-811	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
miR-812	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
miR-813	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
miR-814	3	0	2	0	1	1	2	1	0	0	4	2	0	1	1	0	4	2	1	2	4	0	2	15	0	0	1	1	2	0	6	3	2	1	1	1	1	5	2	7	5	4	2	2	17	0	1	0	0	1	2	0	1	2	2	3	0	0	1	0	7	0	2	1	0	1	1	5	3	1
miR-815	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	1	0	0	0	0	1	1	0	0	1	0	0	2	3	0	0	0	0	0	1	2	0	4	2	0	1	0	1	0	0	0	1	1	0	0	1	0	2	0	0	0	0	0	1	1	3	0	0	0	1	1	1	0
miR-816	0	0	1	1	0	0	0	2	1	1	2	0	0	0	2	0	0	0	0	1	0	4	0	1	0	0	0	0	0	0	5	0	0	0	0	0	0	3	0	4	1	4	0	0	9	0	0	5	0	4	0	0	1	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	1	0
miR-817	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
miR-818	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
miR-819	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
miR-820	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
miR-821	69	34	58	28	26	31	12	56	18	52	40	37	21	17	59	25	19	15	41	36	74	31	48	50	60	37	77	28	43	94	91	42	81	16	47	42	156	354	62	87	79	130	87	33	312	102	29	110	29	31	146	1	86	39	65	61	21	23	38	36	108	11	86	21	46	46	50	89	59	20
miR-822	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
miR-823	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
